2116;1937;0
7285;5757;0
82;83;0
3813;3238;3236
4876;4512;0
6142;6140;6066
4493;4312;0
7050;6939;0
5012;2176;2176
79;80;0
5253;3340;0
5361;5070;0
6647;6352;0
6739;6219;570
8204;5170;0
6730;5525;0
1713;1714;0
4448;4100;0
5323;4613;0
5854;4574;0
5486;4230;0
5689;4668;3362
4674;3239;0
79;80;0
4890;3795;0
4340;4283;0
3905;2935;1487
3202;3182;2717
3698;3670;0
7140;7139;478
127;128;0
3587;2810;0
3463;2408;2406
5471;1770;0
4248;4235;0
3624;3088;2380
4761;3916;235
80;81;0
5413;4813;1355
4067;2994;742
4315;4260;1781
4324;5;0
7590;6266;0
2861;1324;0
79;80;0
74;75;0
74;75;0
4246;4196;3350
4436;3263;0
6110;4947;2045
3352;3350;0
78;79;0
74;75;0
2535;1297;1297
3219;1319;233
3923;3921;0
80;81;0
4167;3367;1334
3060;3061;3060
366;364;0
5232;4973;2146
