Key;Updated;Created;Name;Arbeitsplatz;Kassentyp;NL Number;Betriebsstelle;Hostname;IP-Adresse;Modell;Seriennummer;Betriebssystem;Prozessor;Installationsdatum;Lifecycle Status;1st-Level-Service-Unit;2nd-Level-Service-Unit;External-Service-Provider;Kommentar;SCO/Bargeldabwicklung
CIOS-233542;2024-01-23T13:10:45.111Z;2023-06-20T17:24:05.871Z;PC - Kasse 02 - DE0853CPOS20002;CIOS-215205;CIOS-209249;CIOS-63861;CIOS-209257;DE0853CPOS20002;10.250.126.102;CIOS-209267;SN - PC - Kasse 02 - DE0853CPOS20002;CIOS-209262;CIOS-209274;23.01.2024;8;CIOS-181;CIOS-99643;CIOS-220770;;
CIOS-233543;2024-01-25T13:27:00.204Z;2023-06-20T17:24:05.899Z;PC - Kasse 02 - DE0854CPOS20002;CIOS-215205;CIOS-209249;CIOS-63901;CIOS-209257;DE0854CPOS20002;10.250.127.102;CIOS-209267;8CN3140DVN;CIOS-209262;CIOS-209274;;8;CIOS-181;CIOS-99643;CIOS-220770;;
CIOS-233544;2024-02-05T11:12:13.632Z;2023-06-20T17:24:05.922Z;PC - Kasse 02 - DE0855CPOS20002;CIOS-215205;CIOS-209249;CIOS-63792;CIOS-209257;DE0855CPOS20002;10.250.129.102;CIOS-209267;8CN34609NQ;CIOS-209262;CIOS-209274;11.01.2024;8;CIOS-181;CIOS-99643;CIOS-220770;;
CIOS-233545;2024-01-16T15:05:39.879Z;2023-06-20T17:24:05.953Z;PC - Kasse 02 - DE0856CPOS20002;CIOS-215205;CIOS-209249;CIOS-63846;CIOS-209257;DE0856CPOS20002;10.250.130.102;CIOS-209267;8CN3460HYK;CIOS-209262;CIOS-209274;16.01.2024;8;CIOS-181;CIOS-99643;CIOS-220770;;
CIOS-233546;2023-11-20T16:04:29.680Z;2023-06-20T17:24:05.975Z;PC - Kasse 02 - DE0857CPOS20002;CIOS-215205;CIOS-209249;CIOS-63865;CIOS-209257;DE0857CPOS20002;10.250.131.102;CIOS-209267;8CN3410DJL;CIOS-209262;CIOS-209274;20.11.2023;8;CIOS-181;CIOS-99643;CIOS-220770;;
CIOS-233547;2024-02-01T08:11:22.997Z;2023-06-20T17:24:06.005Z;PC - Kasse 02 - DE0858CPOS20002;CIOS-215205;CIOS-209249;CIOS-63834;CIOS-209257;DE0858CPOS20002;10.250.133.102;CIOS-209267;8CN34609XJ;CIOS-209262;CIOS-209274;19.12.2023;8;CIOS-181;CIOS-99643;CIOS-220770;;
CIOS-233548;2023-10-18T14:45:49.890Z;2023-06-20T17:24:06.025Z;PC - Kasse 02 - DE0859CPOS20002;CIOS-215205;CIOS-209249;CIOS-63934;CIOS-209257;DE0859CPOS20002;10.250.134.102;CIOS-209267;8CN3360FY;CIOS-209262;CIOS-209274;17.10.2023;8;CIOS-181;CIOS-99643;CIOS-220770;;
CIOS-233549;2023-11-29T14:50:30.308Z;2023-06-20T17:24:06.057Z;PC - Kasse 02 - DE0861CPOS20002;CIOS-215205;CIOS-209249;CIOS-63960;CIOS-209257;DE0861CPOS20002;10.250.135.102;CIOS-209267;8CN3360GC6;CIOS-209262;CIOS-209274;20.11.2023;8;CIOS-181;CIOS-99643;CIOS-220770;;
CIOS-233550;2023-11-20T17:28:07.320Z;2023-06-20T17:24:06.075Z;PC - Kasse 02 - DE0862CPOS20002;CIOS-215205;CIOS-209249;CIOS-63746;CIOS-209257;DE0862CPOS20002;10.250.137.102;CIOS-209267;8CN3410F4N;CIOS-209262;;13.11.2023;8;CIOS-181;CIOS-99643;CIOS-220770;;
CIOS-233551;2023-12-19T07:57:54.121Z;2023-06-20T17:24:06.110Z;PC - Kasse 02 - DE0863CPOS20002;CIOS-215205;CIOS-209249;CIOS-63786;CIOS-209257;DE0863CPOS20002;10.250.138.102;CIOS-209267;SN - PC - Kasse 02 - DE0863CPOS20002;CIOS-209262;CIOS-209274;18.12.2023;8;CIOS-181;CIOS-99643;CIOS-220770;;
CIOS-233552;2024-02-01T08:24:02.979Z;2023-06-20T17:24:06.127Z;PC - Kasse 02 - DE0864CPOS20002;CIOS-215205;CIOS-209249;CIOS-63892;CIOS-209257;DE0864CPOS20002;10.250.139.102;CIOS-209267;8CN34609VP;CIOS-209262;CIOS-209274;19.01.2024;8;CIOS-181;CIOS-99643;CIOS-220770;;
CIOS-233553;2024-02-05T08:17:33.302Z;2023-06-20T17:24:06.162Z;PC - Kasse 02 - DE0865CPOS20002;CIOS-215205;CIOS-209249;CIOS-63836;CIOS-209257;DE0865CPOS20002;10.250.141.102;CIOS-209269;SN - PC - Kasse 02 - DE0865CPOS20002;CIOS-209262;;;8;CIOS-181;CIOS-99643;CIOS-220770;;
CIOS-233554;2024-01-08T13:48:28.904Z;2023-06-20T17:24:06.178Z;PC - Kasse 02 - DE0866CPOS20002;CIOS-215205;CIOS-209249;CIOS-63769;CIOS-209257;DE0866CPOS20002;10.250.109.102;CIOS-209267;SN - PC - Kasse 02 - DE0866CPOS20002;CIOS-209262;CIOS-209274;08.01.2024;8;CIOS-181;CIOS-99643;CIOS-220770;;
CIOS-233555;2024-01-17T13:54:30.955Z;2023-06-20T17:24:06.217Z;PC - Kasse 02 - DE0868CPOS20002;CIOS-215205;CIOS-209249;CIOS-64014;CIOS-209257;DE0868CPOS20002;10.250.147.102;CIOS-209267;8CN34609WW;CIOS-209262;CIOS-209274;16.01.2024;8;CIOS-181;CIOS-99643;CIOS-220770;;
CIOS-233556;2024-01-16T15:42:52.378Z;2023-06-20T17:24:06.230Z;PC - Kasse 02 - DE0870CPOS20002;CIOS-215205;CIOS-209249;CIOS-63921;CIOS-209257;DE0870CPOS20002;10.250.146.102;CIOS-209267;8CN35002M9;CIOS-209262;CIOS-209274;16.01.2024;8;CIOS-181;CIOS-99643;CIOS-220770;;
CIOS-233557;2024-02-26T14:39:25.566Z;2023-06-20T17:24:06.268Z;PC - Kasse 02 - DE0871CPOS20002;CIOS-215205;CIOS-209249;CIOS-63976;CIOS-209257;DE0871CPOS20002;10.250.149.102;CIOS-209267;8CN3500325;CIOS-209262;CIOS-209274;26.02.2024;8;CIOS-181;CIOS-99643;CIOS-220770;;
CIOS-233558;2024-02-20T14:51:13.398Z;2023-06-20T17:24:06.280Z;PC - Kasse 02 - DE0872CPOS20002;CIOS-215205;CIOS-209249;CIOS-63788;CIOS-209257;DE0872CPOS20002;10.250.155.102;CIOS-209267;8CN35002FL;CIOS-209262;;20.02.2024;8;CIOS-181;CIOS-99643;CIOS-220770;;
CIOS-233559;2023-06-29T10:25:29.885Z;2023-06-20T17:24:06.319Z;PC - Kasse 02 - DE0874CPOS20002;CIOS-215205;CIOS-209249;CIOS-63827;CIOS-209257;DE0874CPOS20002;10.253.174.102;CIOS-209269;SN - PC - Kasse 02 - DE0874CPOS20002;CIOS-209262;;;;CIOS-181;CIOS-99643;CIOS-220770;;
CIOS-233560;2023-06-29T10:25:29.924Z;2023-06-20T17:24:06.336Z;PC - Kasse 02 - DE0875CPOS20002;CIOS-215205;CIOS-209249;CIOS-63950;CIOS-209257;DE0875CPOS20002;10.253.75.102;CIOS-209269;SN - PC - Kasse 02 - DE0875CPOS20002;CIOS-209262;;;;CIOS-181;CIOS-99643;CIOS-220770;;
CIOS-233561;2023-06-29T10:25:29.922Z;2023-06-20T17:24:06.370Z;PC - Kasse 02 - DE0877CPOS20002;CIOS-215205;CIOS-209249;CIOS-63984;CIOS-209257;DE0877CPOS20002;10.253.87.102;CIOS-209269;SN - PC - Kasse 02 - DE0877CPOS20002;CIOS-209262;;;;CIOS-181;CIOS-99643;CIOS-220770;;
CIOS-233562;2023-06-29T10:25:29.965Z;2023-06-20T17:24:06.386Z;PC - Kasse 02 - DE0879CPOS20002;CIOS-215205;CIOS-209249;CIOS-63919;CIOS-209257;DE0879CPOS20002;10.253.79.102;CIOS-209269;SN - PC - Kasse 02 - DE0879CPOS20002;CIOS-209263;;;;CIOS-181;CIOS-99643;CIOS-220770;;
CIOS-233563;2023-06-29T10:25:29.966Z;2023-06-20T17:24:06.421Z;PC - Kasse 02 - DE0890CPOS20002;CIOS-215205;CIOS-209249;CIOS-63778;CIOS-209257;DE0890CPOS20002;10.250.162.102;CIOS-209269;SN - PC - Kasse 02 - DE0890CPOS20002;CIOS-209262;;;;CIOS-181;CIOS-99643;CIOS-220770;;
CIOS-233564;2023-06-29T10:25:30.013Z;2023-06-20T17:24:06.437Z;PC - Kasse 02 - DE0891CPOS20002;CIOS-215205;CIOS-209249;CIOS-63945;CIOS-209257;DE0891CPOS20002;10.250.166.102;CIOS-209269;SN - PC - Kasse 02 - DE0891CPOS20002;CIOS-209262;;;;CIOS-181;CIOS-99643;CIOS-220770;;
CIOS-233565;2023-06-29T10:25:30.016Z;2023-06-20T17:24:06.472Z;PC - Kasse 02 - DE0892CPOS20002;CIOS-215205;CIOS-209249;CIOS-63758;CIOS-209257;DE0892CPOS20002;10.250.170.102;CIOS-209269;SN - PC - Kasse 02 - DE0892CPOS20002;CIOS-209262;;;;CIOS-181;CIOS-99643;CIOS-220770;;
CIOS-233566;2023-06-29T10:25:30.057Z;2023-06-20T17:24:06.491Z;PC - Kasse 02 - DE0893CPOS20002;CIOS-215205;CIOS-209249;CIOS-63750;CIOS-209257;DE0893CPOS20002;10.250.174.102;CIOS-209269;SN - PC - Kasse 02 - DE0893CPOS20002;CIOS-209262;;;;CIOS-181;CIOS-99643;CIOS-220770;;
